Object Name,Attribute Name
pse__Version_Config__Share,UserOrGroupId
pse__Version_Config__Share,AccessLevel
pse__Version_Config__Share,RowCause
Article_block__Share,Id
Article_block__Share,IsDeleted
Article_block__Share,LastModifiedDate
Article_block__Share,LastModifiedById
Article_block__Share,ParentId
Article_block__Share,UserOrGroupId
Article_block__Share,AccessLevel
Article_block__Share,RowCause
UserPermissionAccess,Id
Opportunity_Review__c,Id
Opportunity_Review__c,IsDeleted
Opportunity_Review__c,Name
Opportunity_Review__c,CurrencyIsoCode
Opportunity_Review__c,CreatedDate
Opportunity_Review__c,CreatedById
Opportunity_Review__c,LastModifiedDate
Opportunity_Review__c,LastModifiedById
Opportunity_Review__c,SystemModstamp
ffrr__RevenueRecognitionScheduledJob__c,Id
ffrr__RevenueRecognitionScheduledJob__c,IsDeleted
ffrr__RevenueRecognitionScheduledJob__c,Name
ffrr__RevenueRecognitionScheduledJob__c,CurrencyIsoCode
ffrr__RevenueRecognitionScheduledJob__c,CreatedDate
ffrr__RevenueRecognitionScheduledJob__c,CreatedById
ffrr__RevenueRecognitionScheduledJob__c,LastModifiedDate
ffrr__RevenueRecognitionScheduledJob__c,LastModifiedById
ffrr__RevenueRecognitionScheduledJob__c,SystemModstamp
ffrr__RevenueRecognitionScheduledJob__c,LastViewedDate
ffrr__RevenueRecognitionScheduledJob__c,LastReferencedDate
pse__Billing_Event_Calculation_Detail__c,Id
pse__Billing_Event_Calculation_Detail__c,IsDeleted
pse__Billing_Event_Calculation_Detail__c,Name
pse__Billing_Event_Calculation_Detail__c,CurrencyIsoCode
pse__Billing_Event_Calculation_Detail__c,CreatedDate
pse__Billing_Event_Calculation_Detail__c,CreatedById
pse__Billing_Event_Calculation_Detail__c,LastModifiedDate
pse__Billing_Event_Calculation_Detail__c,LastModifiedById
pse__Billing_Event_Calculation_Detail__c,SystemModstamp
LeanData__Marketing_Touch__Share,Id
LeanData__Marketing_Touch__Share,IsDeleted
LeanData__Marketing_Touch__Share,LastModifiedDate
LeanData__Marketing_Touch__Share,LastModifiedById
LeanData__Marketing_Touch__Share,ParentId
LeanData__Marketing_Touch__Share,UserOrGroupId
LeanData__Marketing_Touch__Share,AccessLevel
LeanData__Marketing_Touch__Share,RowCause
pse__Jira_Work_Log__c,Id
pse__Jira_Work_Log__c,IsDeleted
pse__Jira_Work_Log__c,Name
pse__Jira_Work_Log__c,CurrencyIsoCode
pse__Jira_Work_Log__c,CreatedDate
pse__Jira_Work_Log__c,CreatedById
pse__Jira_Work_Log__c,LastModifiedDate
pse__Jira_Work_Log__c,LastModifiedById
pse__Jira_Work_Log__c,SystemModstamp
pse__Project_Task_Gantt_Global_Settings__c,Id
pse__Project_Task_Gantt_Global_Settings__c,IsDeleted
pse__Project_Task_Gantt_Global_Settings__c,Name
pse__Project_Task_Gantt_Global_Settings__c,CurrencyIsoCode
pse__Project_Task_Gantt_Global_Settings__c,CreatedDate
pse__Project_Task_Gantt_Global_Settings__c,CreatedById
pse__Project_Task_Gantt_Global_Settings__c,LastModifiedDate
pse__Project_Task_Gantt_Global_Settings__c,LastModifiedById
pse__Project_Task_Gantt_Global_Settings__c,SystemModstamp
fferpcore__ErpMessagingSettings__c,Id
fferpcore__ErpMessagingSettings__c,IsDeleted
fferpcore__ErpMessagingSettings__c,Name
fferpcore__ErpMessagingSettings__c,CurrencyIsoCode
fferpcore__ErpMessagingSettings__c,CreatedDate
